name,rating,industry,location,salary
Eviden,3.6,IT Services & Consulting,Pune +37 other locations,4.7k
Nagarjuna Construction Company,4.1,Engineering & Construction,Hyderabad / Secunderabad +283 other locations,4.7k
State Bank of India,3.8,Banking,Mumbai +603 other locations,4.7k
Schneider Electric,4.1,Industrial Automation,Bangalore / Bengaluru +117 other locations,4.7k
Ecom Express,4.0,Logistics,Gurgaon / Gurugram +757 other locations,4.7k
Nagarro,3.9,IT Services & Consulting,Gurgaon / Gurugram +48 other locations,4.6k
Amdocs,3.6,Software Product,Pune +22 other locations,4.6k
Home Credit Finance,4.0,NBFC,Gurgaon / Gurugram +134 other locations,4.5k
JBM Group,3.9,Auto Components,Gurgaon / Gurugram +112 other locations,4.5k
KEC International,4.0,Engineering & Construction,Mumbai +307 other locations,4.5k
Piramal Capital Housing Finance,4.2,NBFC,Mumbai +381 other locations,4.4k
Varun Beverages,4.0,Beverage,New Delhi +368 other locations,4.4k
Bosch,4.2,Auto Components,Bangalore / Bengaluru +122 other locations,4.4k
Hewlett Packard Enterprise,4.1,IT Services & Consulting,Bangalore / Bengaluru +103 other locations,4.4k
EY Global Delivery Services ( EY GDS),3.5,Accounting & Auditing,Bangalore / Bengaluru +54 other locations,4.4k
Mahindra Logistics,3.7,Logistics,Mumbai +231 other locations,4.3k
Dell,3.8,Consumer Electronics & Appliances,Bangalore / Bengaluru +116 other locations,4.3k
OPPO,3.9,Consumer Electronics & Appliances,Greater Noida +398 other locations,4.3k
ITC Infotech,3.7,IT Services & Consulting,Bangalore / Bengaluru +66 other locations,4.3k
Aditya Birla Fashion and Retail,4.1,Fashion & Textile,Bangalore / Bengaluru +284 other locations,4.3k
L&T Finance,3.9,NBFC,Mumbai +609 other locations,4.3k
Randstad,3.7,Recruitment,Hyderabad / Secunderabad +339 other locations,4.3k
CARS24,3.5,Internet,Gurgaon / Gurugram +171 other locations,4.3k
R1 RCM,3.8,BPO,New Delhi +45 other locations,4.2k
Intas Pharmaceuticals,4.1,Pharma,Ahmedabad +144 other locations,4.2k
Hyundai Motor India Limited,4.2,Automobile,Chennai +282 other locations,4.2k
Havells,3.9,Electrical Equipment,Noida +245 other locations,4.2k
Utkarsh Small Finance Bank,3.7,Banking,Varanasi +390 other locations,4.2k
Deutsche Bank,3.9,Banking,Pune +42 other locations,4.2k
Tata AIA Life Insurance,3.9,Insurance,Mumbai +423 other locations,4.1k
Hetero,3.8,Pharma,Hyderabad / Secunderabad +65 other locations,4.1k
Motilal Oswal Financial Services,3.7,Financial Services,Mumbai +164 other locations,4.1k
Team Lease,3.9,Recruitment,Bangalore / Bengaluru +386 other locations,4k
Bajaj Auto,3.8,Automobile,Pune +308 other locations,4k
Lenskart,3.2,Internet,New Delhi +233 other locations,4k
Thermax Limited,4.2,Industrial Machinery,Pune +239 other locations,4k
Berger Paints,3.7,Chemicals,Kolkata +336 other locations,3.9k
Macleods Pharmaceuticals,3.6,Pharma,Mumbai +128 other locations,3.9k
LG Electronics,3.9,Consumer Electronics & Appliances,Pune +293 other locations,3.9k
Aakash Educational Services,3.2,Education & Training,New Delhi +240 other locations,3.9k
Tata Communications,3.9,Telecom,Pune +99 other locations,3.9k
Royal Enfield,4.2,Automobile,Chennai +366 other locations,3.9k
Jubilant Foods Works,3.7,Hospitality,New Delhi +252 other locations,3.9k
VE Commercial Vehicles,3.9,Automobile,Indore +153 other locations,3.9k
John Deere,4.0,Industrial Machinery,Pune +149 other locations,3.9k
HDFC Ergo General Insurance,3.9,Insurance,Mumbai +317 other locations,3.8k
Oyo Rooms,3.1,Internet,Gurgaon / Gurugram +119 other locations,3.8k
Jindal Steel Limited,3.9,Iron & Steel,Angul +170 other locations,3.8k
DCB Bank,3.8,Banking,Mumbai +335 other locations,3.8k
Hindalco Industries,4.2,Metals & Mining,Sambalpur +122 other locations,3.8k
Reliance Communications,4.0,Telecom,Mumbai +464 other locations,3.7k
Cummins,4.3,Industrial Machinery,Pune +111 other locations,3.7k
State Street Corporation,3.6,Financial Services,Bangalore / Bengaluru +33 other locations,3.7k
RBL Bank,3.5,Banking,Mumbai +275 other locations,3.7k
Carelon Global Solutions,3.8,Software Product,Bangalore / Bengaluru +19 other locations,3.7k
XpressBees,4.2,Internet,Pune +468 other locations,3.7k
Bank of America,4.2,Banking,Gurgaon / Gurugram +34 other locations,3.7k
PVR Inox,3.9,Media & Entertainment,New Delhi +150 other locations,3.7k
Alembic Pharmaceuticals,3.9,Pharma,Vadodara +183 other locations,3.7k
Publicis Sapient,3.4,IT Services & Consulting,Bangalore / Bengaluru +44 other locations,3.6k
Subros,3.8,Auto Components,Noida +86 other locations,3.6k
Viatris,4.1,Pharma,Hyderabad / Secunderabad +81 other locations,3.6k
American Express,4.1,Financial Services,Gurgaon / Gurugram +51 other locations,3.6k
Pidilite Industries,4.2,Chemicals,Mumbai +294 other locations,3.6k
Kogta Financial India Limited,4.7,NBFC,Jaipur +245 other locations,3.6k
Automatic Data Processing (ADP),3.9,Software Product,Hyderabad / Secunderabad +39 other locations,3.6k
Escorts Kubota Limited,4.1,Automobile,Faridabad +149 other locations,3.5k
Sodexo,4.0,Facility Management Services,Mumbai +154 other locations,3.5k
PNB MetLife,3.4,Insurance,New Delhi +410 other locations,3.5k
Maersk,4.0,Logistics,Chennai +48 other locations,3.5k
Aditya Birla Sun Life Insurance,4.0,Insurance,Mumbai +473 other locations,3.5k
Samvardhana Motherson Group,3.7,Auto Components,Noida +91 other locations,3.5k
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,Mumbai +158 other locations,3.5k
Dabur,3.9,FMCG,New Delhi +312 other locations,3.5k
Abbott,4.1,Pharma,Mumbai +210 other locations,3.5k
Birlasoft,3.5,IT Services & Consulting,Pune +48 other locations,3.5k
Synechron,3.5,IT Services & Consulting,Pune +31 other locations,3.5k
Cogent E Services,3.1,BPO,Noida +55 other locations,3.5k
Kyndryl,3.9,IT Services & Consulting,Bangalore / Bengaluru +36 other locations,3.5k
Bharat Electronics,4.2,Electronics Manufacturing,Bangalore / Bengaluru +86 other locations,3.5k
Grasim Industries,4.0,Building Material,Bharuch +230 other locations,3.5k
Glenmark Pharmaceuticals,3.8,Pharma,Mumbai +174 other locations,3.5k
Tata Capital,4.0,NBFC,Mumbai +333 other locations,3.5k
Kotak Mahindara Life Insurance,3.6,Insurance,Mumbai +248 other locations,3.4k
JK Cement,4.0,Building Material,New Delhi +314 other locations,3.4k
Aarti Industries,4.0,Agro Chemicals,Bharuch +57 other locations,3.4k
Indian Oil Corporation,4.4,Oil & Gas,New Delhi +302 other locations,3.4k
KPIT Technologies,3.0,Software Product,Pune +42 other locations,3.4k
Ipca Laboratories,3.9,Pharma,Mumbai +154 other locations,3.4k
Reliance Projects & Property Management Services,4.0,IT Services & Consulting,Kolkata +601 other locations,3.4k
"NTT DATA, Inc.",3.9,IT Services & Consulting,Bangalore / Bengaluru +32 other locations,3.4k
Johnson Controls,3.5,Industrial Automation,Pune +54 other locations,3.3k
MRF Tyres,3.6,Auto Components,Chennai +191 other locations,3.3k
Alkem Laboratories,3.9,Pharma,Mumbai +192 other locations,3.3k
Reliance Digital,4.1,Retail,Mumbai +369 other locations,3.3k
IGT Solutions,3.3,IT Services & Consulting,New Delhi +48 other locations,3.3k
Ford Motor,4.2,Automobile,Chennai +128 other locations,3.3k
Honda Motorcycle & Scooter,4.1,Automobile,Gurgaon / Gurugram +290 other locations,3.3k
Vishal Mega Mart,3.7,Retail,New Delhi +363 other locations,3.3k
UBS,3.9,Financial Services,Pune +19 other locations,3.3k
