name,rating,industry,location,salary
Maxgen Technologies,4.5,IT Services & Consulting,Pune +7 other locations,522
RadiSys,3.9,Telecom,Bangalore / Bengaluru +11 other locations,521
DB Schenker,4.3,Logistics,Gurgaon / Gurugram +39 other locations,521
BLK Super Speciality Hospital,3.9,Healthcare,New Delhi +15 other locations,521
Allianz Services,4.3,Financial Services,Thiruvananthapuram +12 other locations,521
Alcon,3.7,Medical Equipment,Bangalore / Bengaluru +37 other locations,521
Sandoz,3.9,Pharma,Hyderabad / Secunderabad +20 other locations,520
House Of Anita Dongre,4.2,Fashion & Textile,Mumbai +46 other locations,520
Andritz Hydro Location India,3.8,Industrial Machinery,Chennai +28 other locations,521
FiveS Digital,3.5,BPO,Jamshedpur +27 other locations,520
Virtual Employee,3.3,Recruitment,Noida +21 other locations,520
HashedIn by Deloitte,4.1,IT Services & Consulting,Bangalore / Bengaluru +16 other locations,519
Maxop Engineering Co.,4.1,Auto Components,Gurgaon / Gurugram +15 other locations,519
Foray Software,3.4,IT Services & Consulting,Hyderabad / Secunderabad +17 other locations,519
Yokohama,3.6,Auto Components,Bahadurgarh +43 other locations,519
Harman Finochem,3.7,Pharma,Aurangabad +15 other locations,519
Harman Finochem,3.7,Pharma,Aurangabad +15 other locations,519
Prestige Group,4.3,Real Estate,Bangalore / Bengaluru +30 other locations,519
Tracxn,3.0,Internet,Bangalore / Bengaluru +11 other locations,518
Offshore Infrastructures,4.2,Engineering & Construction,Mumbai +50 other locations,518
Carlsberg,4.0,Beverage,Gurgaon / Gurugram +63 other locations,519
Stock Holding Corporation of India,3.6,Financial Services,Mumbai +100 other locations,518
BUSINESSNEXT,3.4,Software Product,Noida +9 other locations,518
ACTE,4.7,Education & Training,Chennai +10 other locations,517
Aurionpro Solutions,3.5,Software Product,Mumbai +46 other locations,517
Roop Polymers,4.1,Auto Components,Gurgaon / Gurugram +25 other locations,517
Wabtec,3.9,Auto Components,Bangalore / Bengaluru +25 other locations,518
RuralShores,3.7,BPO,Bangalore / Bengaluru +46 other locations,517
MITS GLOBAL CONSULTING,4.6,Mumbai +12 other locations,,517
Systra Consulting,3.9,Engineering & Construction,New Delhi +39 other locations,516
S P Singla Constructions,3.4,Engineering & Construction,Patna +60 other locations,516
CDK Global,3.8,IT Services & Consulting,Hyderabad / Secunderabad +7 other locations,516
Paramount Health Services Tpa,3.8,Insurance,Mumbai +36 other locations,516
Eicher Motors,4.1,Automobile,Indore +91 other locations,516
RAK Ceramics,3.8,Building Material,Kakinada +55 other locations,516
Sterling Oil Exploration & Energy Production,3.7,Oil & Gas,Lagos +20 other locations,516
Kellogg Brown and Root,4.1,IT Services & Consulting,Chennai +35 other locations,515
Sulzer,3.9,Industrial Machinery,Pune +24 other locations,515
Bharat Fritz Werner,3.9,Industrial Machinery,Bangalore / Bengaluru +18 other locations,515
Ziqitza Health Care,3.9,Healthcare,Mumbai +58 other locations,515
UTL Solar,3.6,Power,New Delhi +68 other locations,514
"DATAMARK, Inc.",3.5,BPO,Chennai +13 other locations,514
Zolo,3.3,Internet,Bangalore / Bengaluru +24 other locations,515
JoulestoWatts Business Solutions,2.9,IT Services & Consulting,Bangalore / Bengaluru +15 other locations,515
Kirloskar Pneumatic,4.0,Industrial Machinery,Pune +19 other locations,515
Karvy Data Management Services,3.9,Analytics & KPO,Hyderabad / Secunderabad +80 other locations,513
EC-Council,4.1,EdTech,Hyderabad / Secunderabad +18 other locations,513
Orra Fine Jewellery,3.4,Retail,Mumbai +50 other locations,514
Capital Business Systems,3.7,IT Services & Consulting,New Delhi +105 other locations,512
Kidzee,3.8,EdTech,Kolkata +116 other locations,512
Canon,3.9,Consumer Electronics & Appliances,Gurgaon / Gurugram +66 other locations,512
Mr Cooper,4.0,Financial Services,Chennai +11 other locations,512
Ge India Industrial,4.2,Industrial Machinery,Pune +21 other locations,511
Dusters Total Solutions Services,3.8,Facility Management Services,Bangalore / Bengaluru +61 other locations,511
Jaipur Rugs,4.3,Fashion & Textile,Jaipur +20 other locations,510
Sterling,3.9,Healthcare,Mumbai +62 other locations,510
HUDL,3.2,Software Product,Mumbai +15 other locations,510
Mecon,3.9,Metals & Mining,Ranchi +48 other locations,509
Reliance Life Sciences,3.6,Clinical Research,Mumbai +34 other locations,509
Kiya.ai,3.5,Emerging Technologies,Mumbai +17 other locations,508
Datamatics Business Solutions,3.3,Management Consulting,Mumbai +12 other locations,509
ArcelorMittal,4.1,Iron & Steel,Surat +48 other locations,508
Wellness Forever Medicare,3.8,Retail,Mumbai +41 other locations,508
LendingKart,3.5,NBFC,Ahmedabad +45 other locations,508
Apitoria Pharma,4.2,Pharma,Hyderabad / Secunderabad +12 other locations,508
Laxmi Organic Industries,3.9,Chemicals,Mahad +17 other locations,509
Celebi Aviation Holding,3.8,Aviation,Mumbai +15 other locations,508
N.C.L. Industries,3.8,Building Material,Hyderabad / Secunderabad +67 other locations,508
Exicom,4.0,Semiconductors,Gurgaon / Gurugram +26 other locations,507
Titan Engineering & Automation,3.8,Industrial Automation,Hosur +15 other locations,508
ATS Infrastructure,4.1,Real Estate,Noida +13 other locations,506
Maharashtra Seamless,3.3,Building Material,Mumbai +25 other locations,506
Groupm Media,3.8,Marketing & Advertising,Gurgaon / Gurugram +26 other locations,506
SIS Prosegur Holdings,3.4,Law Enforcement & Security,New Delhi +85 other locations,506
Vimta Labs,3.4,Clinical Research,Hyderabad / Secunderabad +29 other locations,505
Fena,4.1,FMCG,New Delhi +81 other locations,504
Fena,4.1,FMCG,New Delhi +81 other locations,504
CARE,4.2,Non-Profit,Patna +113 other locations,505
Iron Mountain Inc,3.8,IT Services & Consulting,Bangalore / Bengaluru +43 other locations,505
Castrol,4.2,Petrochemicals,Mumbai +117 other locations,506
The Saraswat Co-operative Bank,3.3,Banking,Mumbai +34 other locations,506
Kauvery Hospital,4.0,Healthcare,Chennai +19 other locations,505
Centum Learning,3.7,Education & Training,New Delhi +80 other locations,504
Vakrangee,3.7,BPO,Mumbai +89 other locations,504
Scaler Academy,3.5,EdTech,Bangalore / Bengaluru +7 other locations,504
FMC Corporation,3.9,Agro Chemicals,Bharuch +115 other locations,505
Vivanta by Taj,4.1,Hospitality,New Delhi +44 other locations,503
ExxonMobil,3.8,Oil & Gas,Bangalore / Bengaluru +37 other locations,503
GSPANN Technologies,4.1,IT Services & Consulting,Hyderabad / Secunderabad +9 other locations,504
QSpiders,3.7,Education & Training,Bangalore / Bengaluru +26 other locations,503
Macawber Beekay,4.2,Industrial Machinery,Noida +57 other locations,503
Emaar India Limited,3.5,Real Estate,Gurgaon / Gurugram +18 other locations,502
Fenesta Building Systems,4.1,Building Material,Gurgaon / Gurugram +70 other locations,502
Chaayos,3.5,Retail,New Delhi +22 other locations,501
Wockhardt Hospital,3.9,Healthcare,Mumbai +27 other locations,501
HCL Healthcare,4.6,Healthcare,Noida +34 other locations,502
Zycus Infotech,2.7,Software Product,Mumbai +9 other locations,501
Uttar Pradesh Power Corporation,4.0,Power,Lucknow +88 other locations,500
Anudip Foundation,3.8,Non-Profit,Kolkata +61 other locations,500
Bharat Gears,4.1,Auto Components,Faridabad +23 other locations,501
Allianz Partners,3.7,Insurance,Gurgaon / Gurugram +17 other locations,500
Country Delight,3.9,Food Processing,Gurgaon / Gurugram +34 other locations,500
Cuemath,3.6,EdTech,Bangalore / Bengaluru +22 other locations,499
BOBCARD Ltd.,4.2,Financial Services,Mumbai +103 other locations,499
Williams Lea,3.6,BPO,Chennai +18 other locations,499
Legrand,3.6,Electrical Equipment,Mumbai +57 other locations,499
Metalman Auto,3.9,Auto Components,Aurangabad +21 other locations,500
Coats,3.7,Fashion & Textile,Bangalore / Bengaluru +53 other locations,499
Tradeshala,4.5,Education & Training,Bangalore / Bengaluru +7 other locations,501
Wow Momo Foods,3.5,FMCG,Kolkata +47 other locations,499
Belstar Microfinance,4.0,NBFC,Chennai +190 other locations,499
Amar Ujala,4.0,Printing & Publishing,Noida +52 other locations,500
Ralson Tyres Limited,3.7,Auto Components,Ludhiana +52 other locations,498
Future Lifestyle Fashion,4.2,Retail,Bangalore / Bengaluru +63 other locations,497
Insuremile,4.8,Internet,Bangalore / Bengaluru +12 other locations,497
Indecomm Global Services,3.9,IT Services & Consulting,Bangalore / Bengaluru +13 other locations,497
Ambit Finvest,4.0,NBFC,Mumbai +100 other locations,497
Satyam Auto Components,3.9,Auto Components,Gurgaon / Gurugram +25 other locations,496
V.S.T Tillers Tractors,3.5,Industrial Machinery,Bangalore / Bengaluru +56 other locations,497
Enco Engineers Combine,3.5,Auto Components,Gurgaon / Gurugram +17 other locations,495
Nivea,4.1,Beauty & Personal Care,Mumbai +68 other locations,495
Mobile Programming,2.9,IT Services & Consulting,Bangalore / Bengaluru +23 other locations,494
Cairn Energy,3.6,Oil & Gas,Barmer +29 other locations,494
Micron Electricals,4.0,Engineering & Construction,Bangalore / Bengaluru +18 other locations,494
BharatMatrimony.com,3.8,Internet,Chennai +31 other locations,494
Metriqe Solutions,4.0,BPO,Chennai +5 other locations,494
Welspun Enterprises,4.1,Engineering & Construction,Mumbai +48 other locations,494
HealthifyMe,2.7,Internet,Bangalore / Bengaluru +18 other locations,493
DFM Foods,4.0,FMCG,New Delhi +76 other locations,493
Hero Cycles,3.3,Automobile,Ludhiana +46 other locations,492
AT&T,3.8,Telecom,Bangalore / Bengaluru +18 other locations,492
Webskitters,4.1,IT Services & Consulting,Kolkata +4 other locations,492
Ministry of Defence,4.3,Government,New Delhi +73 other locations,493
Macquarie Group,3.3,Financial Services,Gurgaon / Gurugram +16 other locations,490
Go First,3.8,Aviation,Mumbai +34 other locations,490
Lulu International Shopping Mall,3.9,Retail,Lucknow +38 other locations,490
Saud Bahwan Group,3.4,Automobile,Muscat +25 other locations,489
Regalix,2.8,Marketing & Advertising,Hyderabad / Secunderabad +7 other locations,489
My Home Constructions,4.2,Real Estate,Hyderabad / Secunderabad +18 other locations,489
Propertypistol Realty,3.5,Internet,Mumbai +25 other locations,490
Hafele,3.9,Furniture & Furnishing,Mumbai +44 other locations,489
Voltech,3.5,Electrical Equipment,Chennai +44 other locations,489
Trimax IT Infrastructure Services,3.4,IT Services & Consulting,Mumbai +71 other locations,488
Hindusthan National Glass,3.7,Packaging,Kolkata +21 other locations,489
Magma General Insurance Limited,3.7,Insurance,Mumbai +84 other locations,488
Metro Group of Hospitals,3.8,Healthcare,New Delhi +31 other locations,488
Pepperfry,3.2,Furniture & Furnishing,Mumbai +37 other locations,487
PEGATRON,3.8,Electronics Manufacturing,Chennai +13 other locations,488
Poorvika Mobiles,4.0,Retail,Chennai +59 other locations,487
NMDC Limited,4.3,Metals & Mining,Jagdalpur +39 other locations,486
Hitachi Cash Management Services,3.4,Other,Mumbai +89 other locations,486
Pace Setters Business Solutions,3.4,BPO,Mumbai +24 other locations,486
Nelito System,3.4,IT Services & Consulting,Mumbai +41 other locations,485
Sadbhav Engineering,4.3,Engineering & Construction,Ahmedabad +66 other locations,485
Medikabazaar,4.4,Medical Equipment,Mumbai +31 other locations,485
Chemplast Sanmar,3.5,Chemicals,Salem +19 other locations,485
Suprajit Engineering,3.9,Auto Components,Bangalore / Bengaluru +37 other locations,485
Nippon Life India Asset Management,4.4,Financial Services,Mumbai +142 other locations,520
Tuaman Engineering,4.2,Engineering & Construction,Kolkata +35 other locations,484
Brigade Group,4.1,Real Estate,Bangalore / Bengaluru +10 other locations,486
Emerson Electric Co.,4.0,IT Services & Consulting,Pune +24 other locations,484
Pitti Engineering,3.9,Industrial Machinery,Hyderabad / Secunderabad +12 other locations,484
Vyapar,3.4,Software Product,Bangalore / Bengaluru +38 other locations,484
Rakuten,3.5,IT Services & Consulting,Bangalore / Bengaluru +10 other locations,484
Lotus Herbals Private Limited,4.1,Beauty & Personal Care,New Delhi +68 other locations,484
Kokilaben Dhirubhai Ambani Hospital,3.7,Healthcare,Mumbai +20 other locations,483
LearningMate Solutions,3.2,EdTech,Mumbai +12 other locations,483
FinThrive,3.6,Analytics & KPO,Chennai +8 other locations,483
Sanmina Sci,4.1,Electronics Manufacturing,Chennai +14 other locations,483
Spectrum Talent Management,3.5,Recruitment,Noida +79 other locations,482
Varuna Integrated Logistics,3.7,Logistics,Gurgaon / Gurugram +54 other locations,482
RSB Transmissions,4.0,Industrial Machinery,Pune +23 other locations,481
Avaada Group,4.2,Power,Noida +62 other locations,481
Techwave Consulting,3.7,IT Services & Consulting,Hyderabad / Secunderabad +4 other locations,481
Ivrcl Infrastructures & Projects,4.2,Engineering & Construction,Hyderabad / Secunderabad +53 other locations,481
QHTalbros,3.6,Auto Components,Gurgaon / Gurugram +26 other locations,480
Cadbury,4.3,Food Processing,Mumbai +111 other locations,481
RapiPay,3.6,FinTech,Noida +103 other locations,480
Value Point Systems,3.5,IT Services & Consulting,Bangalore / Bengaluru +43 other locations,480
Hamdard,4.0,FMCG,New Delhi +74 other locations,480
GUS Education India,3.1,Education & Training,Hyderabad / Secunderabad +8 other locations,480
Deloitte Digital,3.8,IT Services & Consulting,Bangalore / Bengaluru +27 other locations,480
Alight Solutions,3.4,IT Services & Consulting,Kochi +14 other locations,479
F1 Info Solutions and Services,3.7,IT Services & Consulting,Noida +45 other locations,480
NJ India Invest,3.7,Financial Services,Surat +79 other locations,479
Indiafilings,4.4,Financial Services,Chennai +10 other locations,478
Adda 247,3.8,EdTech,Gurgaon / Gurugram +22 other locations,478
Great Learning,3.6,EdTech,Bangalore / Bengaluru +12 other locations,478
AML RightSource,2.9,IT Services & Consulting,New Delhi +9 other locations,478
OutworX,3.5,IT Services & Consulting,Pune +40 other locations,478
Galaxy Surfactants,3.8,Chemicals,Mumbai +26 other locations,477
Innovaccer,3.5,Software Product,Noida +8 other locations,477
Morepen Laboratories,3.9,Pharma,New Delhi +45 other locations,477
Saudi Binladin Group,4.2,Engineering & Construction,Jeddah +34 other locations,476
Safari Industries India,3.9,Fashion & Textile,Mumbai +75 other locations,477
Global Autotech,4.0,Auto Components,Greater Noida +16 other locations,476
Safari Industries India,3.9,Fashion & Textile,Mumbai +75 other locations,477
Global Autotech,4.0,Auto Components,Greater Noida +16 other locations,476
Rusan Pharma,3.4,Pharma,Dehradun +24 other locations,476
LEAP India Private Limited,4.3,Packaging,Mumbai +45 other locations,476
Vidal Health Insurance,3.6,Insurance,Bangalore / Bengaluru +36 other locations,476
Texmo Industries,3.9,Industrial Machinery,Coimbatore +36 other locations,476
QBurst Technologies,4.2,Software Product,Kochi +16 other locations,476
Sarovar Hotels & Resorts,4.0,Hospitality,New Delhi +70 other locations,475
QUICK HEAL TECHNOLOGIES,3.7,Software Product,Pune +46 other locations,476
Maersk Line,4.0,Logistics,Pune +27 other locations,475
Xerox,3.9,Printing & Publishing,Bangalore / Bengaluru +34 other locations,474
LIC Housing Finance,3.8,NBFC,Mumbai +119 other locations,474
iNurture Education Solutions,2.5,EdTech,Bangalore / Bengaluru +39 other locations,473
India Post,3.7,Government,Bangalore / Bengaluru +184 other locations,474
ServiceNow,4.0,Software Product,Hyderabad / Secunderabad +14 other locations,474
Tractebel,4.1,Engineering & Construction,Gurgaon / Gurugram +87 other locations,473
McNally Bharat Engineering,4.1,Engineering & Construction,Kolkata +58 other locations,472
National Commodities Management Services,4.0,Agriculture,Gurgaon / Gurugram +88 other locations,472
Haldiram Snacks,4.0,Food Processing,Noida +58 other locations,472
Sir H. N. Reliance Foundation Hospital and Research,4.3,Healthcare,Mumbai +9 other locations,471
Sir H. N. Reliance Foundation Hospital and Research,4.3,Healthcare,Mumbai +9 other locations,471
MUTHOOT HOMEFIN (I) LTD.,4.1,NBFC,Mumbai +102 other locations,471
HSBC Global Banking and Markets,3.9,Banking,Bangalore / Bengaluru +15 other locations,472
NBTC GROUP,3.3,Oil & Gas,Chennai +25 other locations,471
Jiva Ayurvedic Pharmacy,3.9,Faridabad +48 other locations,,471
Alchemy Techsol India,3.5,IT Services & Consulting,Bangalore / Bengaluru +18 other locations,471
Siemens Healthineers,4.0,Healthcare,Bangalore / Bengaluru +17 other locations,470
Juniper Networks,4.2,Hardware & Networking,Bangalore / Bengaluru +7 other locations,471
Aptus Value Housing Finance India,4.2,NBFC,Chennai +141 other locations,471
Sterling Holiday Resort,3.7,Hospitality,Chennai +66 other locations,470
Axa XL,3.6,Insurance,Gurgaon / Gurugram +6 other locations,469
2COMS,3.4,Kolkata +49 other locations,,469
CMR Green Technologies,3.5,Metals & Mining,Faridabad +32 other locations,471
SUEZ Group,4.2,Waste Management,New Delhi +47 other locations,469
C5i,3.8,Analytics & KPO,Bangalore / Bengaluru +16 other locations,470
Riya Travel,3.5,Travel & Tourism,Mumbai +37 other locations,468
IKF Finance,3.9,NBFC,Hyderabad / Secunderabad +122 other locations,468
Mars International India,4.1,Food Processing,Hyderabad / Secunderabad +81 other locations,468
Marble Box,4.0,BPO,Kolkata +6 other locations,468
Otsuka Pharmaceutical India Private Limited,4.2,Pharma,Ahmedabad +38 other locations,467
Securitas,3.9,Law Enforcement & Security,Gurgaon / Gurugram +44 other locations,467
Sheela Foam,4.0,Furniture & Furnishing,Noida +88 other locations,467
Insolutions Global,3.7,FinTech,Mumbai +20 other locations,467
Muthoottu Mini Financiers,3.5,NBFC,Bangalore / Bengaluru +94 other locations,469
Essjay Ericsson,4.1,Analytics & KPO,New Delhi +80 other locations,466
Plastic Omnium,3.7,Automobile,Pune +19 other locations,466
Magneti Marelli Motherson Auto System,3.8,Auto Components,Pune +19 other locations,466
Johnson Matthey,3.9,Gurgaon / Gurugram +22 other locations,,465
Prime Focus Technologies,3.1,Software Product,Bangalore / Bengaluru +17 other locations,465
Hinduja Tech,3.2,IT Services & Consulting,Chennai +17 other locations,465
Yardi Systems,3.5,Software Product,Pune +2 other locations,465
MAQ Software,2.2,IT Services & Consulting,Hyderabad / Secunderabad +9 other locations,465
Qcon,4.4,Engineering & Construction,Mumbai +30 other locations,465
African Industries,3.9,Metals & Mining,Lagos +22 other locations,465
Kirby Building Systems,3.9,Engineering & Construction,Hyderabad / Secunderabad +35 other locations,464
Vishwa Samudra Engineering,3.8,Engineering & Construction,Hyderabad / Secunderabad +40 other locations,466
Markets and Markets,2.9,Analytics & KPO,Pune +16 other locations,464
Westin,4.1,Hospitality,Mumbai +32 other locations,463
Ben Franklin Opticians,3.7,Medical Equipment,Hyderabad / Secunderabad +115 other locations,463
Dr. Agarwal's Eye Hospital,3.7,Healthcare,Chennai +77 other locations,463
MR.DIY,3.4,Retail,Mumbai +78 other locations,464
Central Public Works Department,4.1,Government,New Delhi +121 other locations,462
Pierian Services,3.4,Management Consulting,Bangalore / Bengaluru +19 other locations,462
N+A,3.8,Financial Services,Bangalore / Bengaluru +63 other locations,463
Bira 91,3.3,Beverage,New Delhi +54 other locations,462
BCG,3.6,Management Consulting,Gurgaon / Gurugram +8 other locations,463
Communications Test Design,3.8,IT Services & Consulting,Bangalore / Bengaluru +49 other locations,461
Giesecke & Devrient,3.5,IT Services & Consulting,Gurgaon / Gurugram +53 other locations,461
Saksoft,3.5,IT Services & Consulting,Bangalore / Bengaluru +18 other locations,461
RSM India,3.4,Accounting & Auditing,Mumbai +34 other locations,461
ZEISS India,3.6,Industrial Machinery,Bangalore / Bengaluru +33 other locations,459
Kalyani Technoforge,3.7,Auto Components,Pune +17 other locations,459
Onshore Construction,3.7,Engineering & Construction,Mumbai +39 other locations,459
Dalmia Bharat Group,3.9,Building Material,New Delhi +96 other locations,459
Romsons Group Of Industries,3.7,Medical Equipment,Agra +56 other locations,459
GHCL Limited,3.8,Chemicals,Sutrapada +29 other locations,458
Schindler Group,3.7,Industrial Machinery,Pune +49 other locations,458
Gyan Dairy,4.0,FMCG,Lucknow +44 other locations,459
Mahanagar Gas,4.2,Oil & Gas,Mumbai +25 other locations,456
Alpla,3.9,Packaging,Hyderabad / Secunderabad +24 other locations,457
Invesco,3.7,Financial Services,Hyderabad / Secunderabad +7 other locations,456
Lite Bite Foods,4.3,Hospitality,New Delhi +24 other locations,457
TriGeo Technologies,3.2,IT Services & Consulting,Hyderabad / Secunderabad +5 other locations,456
Orcapod Consulting Services,3.1,IT Services & Consulting,Hyderabad / Secunderabad +20 other locations,455
Amara Raja Infra,4.0,Engineering & Construction,Hyderabad / Secunderabad +47 other locations,456
British Council,3.5,Education & Training,New Delhi +23 other locations,455
Ppap Automotive,3.8,Auto Components,Noida +17 other locations,456
Sri Krishna Pharmaceuticals,3.9,Pharma,Hyderabad / Secunderabad +15 other locations,456
MindGate Solutions,3.3,IT Services & Consulting,Mumbai +10 other locations,454
Almarai,4.2,Food Processing,Riyadh +41 other locations,454
Ascent Business Solutions,3.3,Analytics & KPO,Nagpur +14 other locations,454
Quinnox,3.8,IT Services & Consulting,Bangalore / Bengaluru +8 other locations,454
Think Gas Ludhiana,3.6,Oil & Gas,Chennai +49 other locations,454
Prism Cement,3.8,Building Material,Satna +77 other locations,454
Suzlon Global Services,3.8,Jaisalmer +62 other locations,,455
Indian Bank,3.4,Banking,Chennai +102 other locations,453
Cosmo Films,3.7,Packaging,Aurangabad +13 other locations,454
BharatPe,3.5,FinTech,Gurgaon / Gurugram +74 other locations,454
Bahwan Engineering,4.1,Engineering & Construction,Muscat +22 other locations,453
Sayaji Hotels,4.2,Hospitality,Indore +34 other locations,453
Keysight Technologies,3.9,Electronics Manufacturing,Gurgaon / Gurugram +12 other locations,452
Tata International,3.4,Import & Export,Mumbai +39 other locations,452
Addverb Technologies,3.8,Industrial Automation,Noida +21 other locations,452
Sulekha.com,3.6,Internet,Chennai +19 other locations,451
smartData Enterprises,3.1,IT Services & Consulting,Nagpur +12 other locations,451
Landis+Gyr,3.0,Electrical Equipment,Noida +11 other locations,451
OLX Autos,3.9,Gurgaon / Gurugram +34 other locations,,451
Kellton,2.9,IT Services & Consulting,Gurgaon / Gurugram +19 other locations,452
ByteDance,4.0,Internet,Gurgaon / Gurugram +14 other locations,452
Oriental Structural Engineers,4.2,Engineering & Construction,New Delhi +59 other locations,450
Grindwell Norton,3.6,Industrial Machinery,Bangalore / Bengaluru +41 other locations,450
Mikuni,4.1,Auto Components,Neemrana +16 other locations,450
Visaka Industries,3.8,Building Material,Hyderabad / Secunderabad +58 other locations,450
Stylebaazar,4.0,Fashion & Textile,Kolkata +89 other locations,450
MagicPin,2.6,Internet,Gurgaon / Gurugram +19 other locations,450
NKG Infrastructure,3.2,Engineering & Construction,New Delhi +45 other locations,449
Iksula,3.3,IT Services & Consulting,Mumbai +11 other locations,449
Walkaroo International,3.6,Coimbatore +55 other locations,,450
Leighton Contractors,4.0,Engineering & Construction,Mumbai +20 other locations,450
Meghmani Organics,3.6,Chemicals,Bharuch +26 other locations,449
Leighton Contractors,4.0,Engineering & Construction,Mumbai +20 other locations,450
Meghmani Organics,3.6,Chemicals,Bharuch +26 other locations,449
Voya India,3.6,Financial Services,Bangalore / Bengaluru +10 other locations,449
Revent Group,3.8,Auto Components,Gurgaon / Gurugram +31 other locations,449
Buzzworks Business Services,3.7,Recruitment,Chennai +66 other locations,449
Par Pharmaceutical Companies,4.3,Pharma,Indore +11 other locations,449
Thought Focus,3.5,IT Services & Consulting,Bangalore / Bengaluru +11 other locations,449
ASM Technologies,3.7,Engineering & Construction,Bangalore / Bengaluru +21 other locations,449
Orient Craft,3.5,Fashion & Textile,Gurgaon / Gurugram +14 other locations,448
Matrix Business Services,3.4,Analytics & KPO,Chennai +22 other locations,448
Visa,3.3,FinTech,Bangalore / Bengaluru +17 other locations,448
Subex,3.3,Software Product,Bangalore / Bengaluru +10 other locations,448
Bridgestone India Automotive Products,4.0,Auto Components,Gurgaon / Gurugram +45 other locations,448
Ramco Industries,4.1,Building Material,Chennai +76 other locations,448
FNP,3.3,Retail,New Delhi +17 other locations,449
Premier Energies,4.1,Power,Hyderabad / Secunderabad +22 other locations,448
EID Parry (India),3.8,Food Processing,Chennai +38 other locations,448
Dana India,4.0,Auto Components,Pune +24 other locations,448
Novotel Hotels,4.0,Hospitality,Mumbai +31 other locations,448
GD Goenka Public School,3.2,Education & Training,New Delhi +69 other locations,448
Atomberg Technologies,3.8,Consumer Electronics & Appliances,Pune +56 other locations,448
Star Bazaar,3.9,Retail,Mumbai +41 other locations,447
Jumbotail Technologies,3.6,Retail,Bangalore / Bengaluru +29 other locations,446
MathCo,3.1,Emerging Technologies,Bangalore / Bengaluru +7 other locations,446
C-Edge Technologies,3.8,IT Services & Consulting,Mumbai +20 other locations,446
Gulf Oil Lubricants,4.0,Oil & Gas,Mumbai +79 other locations,446
Anthem Biosciences,3.9,Pharma,Bangalore / Bengaluru +13 other locations,446
Vindhya e-Info Media,3.5,BPO,Bangalore / Bengaluru +16 other locations,447
Del Monte Foods,3.9,Food Processing,Gurgaon / Gurugram +57 other locations,446
T.v. Sundram Iyengar & Sons,4.0,Automobile,Chennai +78 other locations,445
Karvy Data Management,3.0,Hyderabad / Secunderabad +42 other locations,,445
Brainvire,2.9,IT Services & Consulting,Ahmedabad +10 other locations,445
Iol Chemicals & Pharmaceuticals,3.8,Pharma,Barnala +14 other locations,444
Teradata,3.8,Software Product,Pune +10 other locations,445
Gilbarco Veeder Root,3.8,Industrial Machinery,Mumbai +57 other locations,444
Micron Technology,3.6,Semiconductors,Hyderabad / Secunderabad +15 other locations,444
Honda Logistics,3.7,Logistics,Bhiwadi +27 other locations,445
Epiroc,4.0,Industrial Machinery,Bangalore / Bengaluru +27 other locations,444
GS Lab,3.7,IT Services & Consulting,Pune +8 other locations,443
L. N. Malviya Infra Projects Group,3.2,Engineering & Construction,Bhopal +119 other locations,443
SPAR Hypermarkets,3.9,Retail,Bangalore / Bengaluru +30 other locations,442
Avery Dennison,3.7,Packaging,Bangalore / Bengaluru +32 other locations,442
Fynd,3.2,Software Product,Mumbai +11 other locations,442
InCred Finance,3.8,NBFC,Mumbai +61 other locations,442
Encube Ethicals,3.7,Pharma,Mumbai +27 other locations,442
Kandhari Beverages,3.7,Beverage,Jammu +43 other locations,442
Liberty General Insurance,3.7,Insurance,Mumbai +84 other locations,442
Namaste India Foods,3.9,Food Processing,Kanpur +40 other locations,441
Vijai Electricals,3.8,Power,Hyderabad / Secunderabad +45 other locations,441
Flamingo Pharmaceuticals,3.2,Pharma,Mumbai +12 other locations,441
Thales,3.6,IT Services & Consulting,Noida +18 other locations,441
Symphony,4.7,Consumer Electronics & Appliances,Ahmedabad +85 other locations,441
Symbiotec Pharmalab,4.0,Indore +15 other locations,,442
Lakme,4.1,Beauty & Personal Care,Mumbai +74 other locations,441
Kaar Tech,3.9,IT Services & Consulting,Chennai +12 other locations,441
Aimil Pharmaceuticals,3.5,Pharma,New Delhi +54 other locations,440
Tetra Pak,4.0,Packaging,Pune +18 other locations,440
Aparna Enterprises,3.9,Building Material,Hyderabad / Secunderabad +39 other locations,440
Stovekraft,4.1,Consumer Electronics & Appliances,Bangalore / Bengaluru +55 other locations,440
Sany Heavy Industry,3.7,Industrial Machinery,Pune +55 other locations,440
India Glycols,4.0,Chemicals,Kashipur +24 other locations,440
Vishvaraj Environment,4.0,Waste Management,Nagpur +52 other locations,440
Nash Industries,3.7,Industrial Machinery,Bangalore / Bengaluru +14 other locations,440
Hitachi Systems,3.9,IT Services & Consulting,Mumbai +37 other locations,441
Saxo Bank,3.7,FinTech,Gurgaon / Gurugram +5 other locations,439
CommScope,3.8,Telecom,Bangalore / Bengaluru +20 other locations,439
Signature Global,3.9,Real Estate,Gurgaon / Gurugram +13 other locations,439
KRBL,3.8,Food Processing,Noida +51 other locations,438
AVAYA,3.1,Software Product,Pune +17 other locations,438
Greenpanel Industries,3.9,Furniture & Furnishing,Srikalahasti +69 other locations,438
Shalimar Paints,3.4,Chemicals,Gurgaon / Gurugram +81 other locations,438
B. Braun Medical,4.1,Healthcare,Mumbai +48 other locations,437
